ARTIST_NAME,SONG_NAME,SONGS_NUMBER,RANK
The Killers,Romeo And Juliet,31,7
The Killers,Uncle Jonny,31,7
The Killers,Losing Touch,31,7
Alliance Ethnik,SinceritÃÂ© Et Jalousie,30,8
Alliance Ethnik,ReprÃÂ©sente,30,8
Alliance Ethnik,Creil City,30,8
OneRepublic,All The Right Moves,30,8
OneRepublic,Secrets,30,8
OneRepublic,Apologize,30,8
OneRepublic,Goodbye_ Apathy,30,8
OneRepublic,Someone To Save You,30,8
OneRepublic,Say (All I Need),30,8
OneRepublic,Everybody Loves Me,30,8
OneRepublic,Good Life,30,8
Radiohead,Weird Fishes/Arpeggi,30,8
Radiohead,Karma Police,30,8
Radiohead,Kid A,30,8
Radiohead,Faust Arp,30,8
Radiohead,Sulk,30,8
Radiohead,Planet Telex,30,8
Radiohead,Let Down,30,8
Radiohead,Sit Down. Stand Up,30,8
Radiohead,Everything In Its Right Place,30,8
Radiohead,(Nice Dream),30,8
Radiohead,There_ There,30,8
Radiohead,I Might Be Wrong,30,8
Radiohead,How To Disappear Completely,30,8
Radiohead,Subterranean Homesick Alien,30,8
Radiohead,Black Star,30,8
Radiohead,Creep (Explicit),30,8
Radiohead,15 Step,30,8
Radiohead,You,30,8
Radiohead,Talk Show Host,30,8
Radiohead,Pop Is Dead,30,8
Radiohead,Pulk/Pull Revolving Doors,30,8
Justin Bieber,Somebody To Love,29,9
Justin Bieber,Love Me,29,9
Justin Bieber,Stuck In The Moment,29,9
Justin Bieber,Runaway Love,29,9
Justin Bieber,U Smile,29,9
Justin Bieber,One Less Lonely Girl,29,9
Justin Bieber,One Time,29,9
Justin Bieber,Never Let You Go,29,9
Linkin Park,Figure.09 (Album Version),28,10
Linkin Park,Given Up (Album Version),28,10
Linkin Park,Crawling (Album Version),28,10
Linkin Park,My December,28,10
Linkin Park,The Little Things Give You Away [Live At Milton Keynes],28,10
Linkin Park,Runaway (Album Version),28,10
Linkin Park,What I've Done (Album Version),28,10
Linkin Park,Lying From You (Album Version),28,10
Linkin Park,Bleed It Out [Live At Milton Keynes],28,10
Linkin Park,New Divide (Album Version),28,10
Linkin Park,Shadow Of The Day (Album Version),28,10
Linkin Park,Points Of Authority (Album Version),28,10
Linkin Park,Pushing Me Away (Album Version),28,10
Linkin Park,Bleed It Out (Album Version),28,10
Linkin Park,In The End (Album Version),28,10
Metallica,No Remorse,27,11
Metallica,Master Of Puppets,27,11
Metallica,Of Wolf And Man,27,11
Metallica,Welcome Home (Sanitarium),27,11
Metallica,Fade To Black,27,11
Metallica,The Unforgiven III,27,11
Metallica,The Ecstasy Of Gold,27,11
Metallica,Sabbra Cadabra,27,11
Metallica,Fight Fire With Fire,27,11
Metallica,The Unforgiven II,27,11
Metallica,Some Kind Of Monster,27,11
Metallica,Broken_ Beat & Scarred,27,11
Metallica,One,27,11
Metallica,Until It Sleeps,27,11
Metallica,Mama Said,27,11
Metallica,Eye Of The Beholder,27,11
Metallica,Ain't My Bitch,27,11
Eminem,Hello,26,12
Eminem,Deja Vu,26,12
Eminem,The Real Slim Shady,26,12
Eminem,Without Me,26,12
Eminem,Still Don't Give A Fuck,26,12
Eminem,Hailie's Song,26,12
Eminem,Medicine Ball,26,12
Eminem,Mockingbird,26,12
Eminem,Just Lose It,26,12
Eminem,Evil Deeds,26,12
Eminem,My Name Is,26,12
Eminem,Criminal,26,12
Eminem,I'm Shady,26,12
Eminem,Music Box,26,12
Train,Hey_ Soul Sister,25,13
Train,Marry Me,25,13
Train,Calling All Angels,25,13
Train,Skyscraper,25,13
Train,Shelter Me,25,13
Train,Meet Virginia,25,13
Train,If It's Love,25,13
Train,Ramble On,25,13
Train,Explanation,25,13
BeyoncÃÂ©,Get Me Bodied,23,14
BeyoncÃÂ©,Halo,23,14
BeyoncÃÂ©,Broken-Hearted Girl,23,14
BeyoncÃÂ©,Ego,23,14
BeyoncÃÂ©,Irreplaceable,23,14
BeyoncÃÂ©,I'd Rather Go Blind,23,14
BeyoncÃÂ©,Hello,23,14
BeyoncÃÂ©,Me_ Myself And I,23,14
BeyoncÃÂ©,Be With You,23,14
BeyoncÃÂ©,Kitty Kat,23,14
BeyoncÃÂ©,Gift From Virgo,23,14
BeyoncÃÂ©,Fever,23,14
BeyoncÃÂ©,Dangerously In Love,23,14
Taylor Swift,The Way I Loved You,23,14
Taylor Swift,You Belong With Me,23,14
Taylor Swift,Love Story,23,14
Taylor Swift,The Best Day,23,14
Taylor Swift,Forever & Always,23,14
Taylor Swift,Jump Then Fall,23,14
Taylor Swift,Our Song,23,14
Taylor Swift,Cold As You,23,14
Taylor Swift,Tim McGraw,23,14
Taylor Swift,Crazier,23,14
Kanye West,Stronger,22,15
Kanye West,Homecoming,22,15
Kanye West,Jesus Walks,22,15
Kanye West,Flashing Lights,22,15
Kanye West,RoboCop,22,15
Kanye West,Coldest Winter,22,15
Kanye West,We Don't Care,22,15
Kanye West,Celebration,22,15
Kanye West,Family Business,22,15
Foo Fighters,What If I Do?,21,16
Foo Fighters,DOA,21,16
Foo Fighters,The Pretender,21,16
Foo Fighters,Lonely As You,21,16
Foo Fighters,Everlong,21,16
Foo Fighters,Learn To Fly,21,16
Foo Fighters,All My Life,21,16
Foo Fighters,Over And Out,21,16
Foo Fighters,Cold Day In The Sun,21,16
Foo Fighters,Hell,21,16
Harmonia,Sehr kosmisch,21,16
Lily Allen,The Fear,20,17
Lily Allen,Him,20,17
Lily Allen,LDN,20,17
Lily Allen,Cheryl Tweedy,20,17
Lily Allen,Everyone's At It,20,17
Lily Allen,Smile,20,17
Lily Allen,Not Fair,20,17
Lily Allen,Littlest Things (Live At The Astoria),20,17
Lily Allen,Everybody's Changing,20,17
Lily Allen,Smile Version Revisited (Mark Ronson Remix) (Explicit),20,17
Lily Allen,Smile (Explicit Version),20,17
Lily Allen,Not Fair (Clean Radio Edit),20,17
Lily Allen,Not Big,20,17
Lily Allen,Littlest Things,20,17
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),19,18
Evanescence,My Immortal,19,18
Evanescence,Like You,19,18
Evanescence,Hello,19,18
Evanescence,Lithium,19,18
Evanescence,Bring Me To Life,19,18
Evanescence,My Immortal (bonus),19,18
Evanescence,Lose Control,19,18
Evanescence,Tourniquet,19,18
Evanescence,My Immortal (Album Version),19,18
Evanescence,Good Enough,19,18
Evanescence,Missing (Live in Europe),19,18
The All-American Rejects,Too Far Gone,19,18
The All-American Rejects,Fallin' Apart,19,18
The All-American Rejects,Happy Endings,19,18
The All-American Rejects,Dirty Little Secret,19,18
The All-American Rejects,Change Your Mind,19,18
The All-American Rejects,One More Sad Song,19,18
The All-American Rejects,Move Along,19,18
The All-American Rejects,Swing_ Swing,19,18
The All-American Rejects,The Wind Blows,19,18
The All-American Rejects,Gives You Hell,19,18
The All-American Rejects,Your Star,19,18
The All-American Rejects,Why Worry,19,18
The All-American Rejects,Stab My Back,19,18
Daft Punk,Technologic,18,19
Daft Punk,Human After All (SebastiAn Remix ),18,19
Daft Punk,Harder Better Faster Stronger (Alive Radio Edit 2007),18,19
Daft Punk,Human After All,18,19
Daft Punk,Revolution 909 (Roger Sanchez Remix),18,19
Daft Punk,Aerodynamic,18,19
Daft Punk,Face To Face / Short Circuit,18,19
Daft Punk,Television Rules The Nation / Crescendolls,18,19
Daft Punk,Around The World / Harder Better Faster Stronger,18,19
Daft Punk,Da Funk / Dadftendirekt,18,19
Daft Punk,Emotion,18,19
Daft Punk,Aerodynamic (Daft Punk Remix),18,19
Daft Punk,Crescendolls,18,19
Daft Punk,Face To Face,18,19
Guns N' Roses,Don't Cry (Original),18,19
Guns N' Roses,Used To Love Her,18,19
Guns N' Roses,The Garden,18,19
Guns N' Roses,Down On The Farm,18,19
Guns N' Roses,Estranged,18,19
Guns N' Roses,Paradise City,18,19
Guns N' Roses,Sympathy For The Devil,18,19
Guns N' Roses,Live And Let Die,18,19
Guns N' Roses,Civil War,18,19
Arctic Monkeys,Fake Tales Of San Francisco (Explicit),17,20
Arctic Monkeys,From The Ritz To The Rubble,17,20
Arctic Monkeys,Mardy Bum,17,20
Arctic Monkeys,Old Yellow Bricks,17,20
Arctic Monkeys,Still Take You Home,17,20
Arctic Monkeys,D is for Dangerous,17,20
Arctic Monkeys,Fake Tales Of San Francisco,17,20
Arctic Monkeys,Perhaps Vampires Is A Bit Strong But...,17,20
Arctic Monkeys,Baby I'm Yours,17,20
Arctic Monkeys,Crying Lightning,17,20
Arctic Monkeys,You Know I'm No Good,17,20
Creedence Clearwater Revival,It's Just A Thought,17,20
Creedence Clearwater Revival,Proud Mary,17,20
Creedence Clearwater Revival,Travelin' Band,17,20
Creedence Clearwater Revival,Have You Ever Seen The Rain,17,20
Creedence Clearwater Revival,Bad Moon Rising,17,20
Creedence Clearwater Revival,Sweet Hitch-Hiker,17,20
Creedence Clearwater Revival,Midnight Special,17,20
Creedence Clearwater Revival,Down On The Corner,17,20
Creedence Clearwater Revival,I Put A Spell On You,17,20
Creedence Clearwater Revival,Born On The Bayou,17,20
Creedence Clearwater Revival,Run Through The Jungle,17,20
Creedence Clearwater Revival,Feelin' Blue,17,20
Creedence Clearwater Revival,Lodi,17,20
Five Iron Frenzy,Canada,17,20
Jason Mraz,Geek In The Pink (Album Version),17,20
Jason Mraz,I'm Yours (Album Version),17,20
Jason Mraz,Did You Get My Message? (Live From Montalvo),17,20
Jason Mraz,Summer Breeze,17,20
Jason Mraz,You And I Both (LP Version),17,20
Jason Mraz,Live High (Album Version),17,20
Jason Mraz,A Beautiful Mess (Album Version),17,20
Jason Mraz,After An Afternoon (Eagles Ballroom Live Version),17,20
Jason Mraz,Wordplay (Album Version),17,20
Jason Mraz,The Remedy (I Won't Worry) (New EQ'd LP Version),17,20
Jason Mraz,Geek In The Pink [Phil Tan Remix],17,20
Paramore,The Only Exception (Album Version),17,20
Paramore,Careful (Album Version),17,20
Paramore,Brick By Boring Brick [Acoustic Version],17,20
Paramore,Let The Flames Begin (Album Version),17,20
Paramore,Misery Business (Album Version),17,20
Paramore,Emergency (Album Version),17,20
Paramore,When It Rains (Album Version),17,20
Amy Winehouse,You Sent Me Flying / Cherry,16,21
Amy Winehouse,Addicted,16,21
Amy Winehouse,Monkey Man,16,21
Amy Winehouse,Love Is A Losing Game,16,21
Amy Winehouse,Me & Mr Jones,16,21
Amy Winehouse,Fuck Me Pumps,16,21
Amy Winehouse,You Know I'm No Good,16,21
Amy Winehouse,He Can Only Hold Her,16,21
Amy Winehouse,Just Friends,16,21
Amy Winehouse,Stronger Than Me,16,21
Amy Winehouse,Wake Up Alone,16,21
Amy Winehouse,Valerie,16,21
Amy Winehouse,Some Unholy War,16,21
Rise Against,Savior,16,21
Rise Against,To Them These Streets Belong,16,21
Rise Against,Torches,16,21
Rise Against,Audience Of One,16,21
Rise Against,But Tonight We Dance,16,21
Rise Against,Long Forgotten Sons,16,21
Rise Against,Under The Knife,16,21
Rise Against,My Life Inside Your Heart,16,21
Rise Against,Roadside,16,21
Rise Against,Black Masks & Gasoline,16,21
Beastie Boys,Unite (2009 Digital Remaster),15,22
Beastie Boys,The Maestro,15,22
Beastie Boys,Skills To Pay The Bills,15,22
Beastie Boys,Intergalactic,15,22
Beastie Boys,Lighten Up,15,22
Black Eyed Peas,Let's Get It Started,15,22
Black Eyed Peas,Hands Up,15,22
Black Eyed Peas,Gone Going,15,22
Black Eyed Peas,Imma Be,15,22
Black Eyed Peas,Pump It,15,22
Black Eyed Peas,I Gotta Feeling,15,22
Black Eyed Peas,My Humps,15,22
Black Eyed Peas,Hey Mama,15,22
Black Eyed Peas,Bebot,15,22
Cat Stevens,If You Want To Sing Out_ Sing Out,15,22
Cat Stevens,Don't Be Shy,15,22
Cat Stevens,Sad Lisa,15,22
Cat Stevens,Wild World,15,22
Cat Stevens,Peace Train,15,22
Cat Stevens,Lady D'Arbanville,15,22
Cat Stevens,Where Do The Children Play?,15,22
Cat Stevens,Portobello Road,15,22
Cat Stevens,Sun / C79,15,22
Cat Stevens,Hard Headed Woman,15,22
Gorillaz,Rock The House (Radio Edit),14,23
Gorillaz,Demon Days,14,23
Gorillaz,Pirate Jet,14,23
Gorillaz,DARE,14,23
Gorillaz,Feel Good Inc (Album Version),14,23
Gorillaz,Plastic Beach (Feat. Mick Jones and Paul Simonon),14,23
Gorillaz,Double Bass,14,23
Gorillaz,Clint Eastwood (Explicit),14,23
Gorillaz,Fire Coming Out Of The Monkey's Head,14,23
Gorillaz,M1 A1,14,23
Gorillaz,Broken,14,23
Gorillaz,Rockit,14,23
Gorillaz,Last Living Souls,14,23
Gorillaz,Hong Kong,14,23
Modest Mouse,Here It Comes,14,23
Modest Mouse,Float On,14,23
Modest Mouse,Interlude (Milo),14,23
Modest Mouse,Fire It Up,14,23
Modest Mouse,The Good Times Are Killing Me,14,23
Modest Mouse,Little Motel,14,23
Modest Mouse,Heart Cooks Brain,14,23
Tub Ring,Invalid,14,23
3 Doors Down,Here Without You,13,24
3 Doors Down,Kryptonite,13,24
3 Doors Down,She Don't Want The World,13,24
3 Doors Down,Citizen/Soldier,13,24
3 Doors Down,Pages,13,24
Cartola,Sala De RecepÃÂ§ÃÂ£o,13,24
Cartola,Tive Sim,13,24
Cartola,Verde Que Te Quero Rosa,13,24
Cartola,Peito Vazio,13,24
Cartola,As Rosas NÃÂ£o Falam,13,24
Charttraxx Karaoke,Fireflies,13,24
Enya,To Go Beyond (II),13,24
Enya,Only Time (Original Version),13,24
Enya,Aldebaran,13,24
Enya,The Sun In The Stream,13,24
Enya,Wild Child,13,24
Enya,Boadicea,13,24
Enya,Exile,13,24
Enya,White Is In The Winter Night (Album),13,24
Enya,China Roses,13,24
Enya,May It Be (Album version),13,24
Franz Ferdinand,This Fire,13,24
Franz Ferdinand,Eleanor Put Your Boots On,13,24
Franz Ferdinand,Michael,13,24
Franz Ferdinand,The Fallen (Ruined By Justice),13,24
Franz Ferdinand,Call Me,13,24
Franz Ferdinand,Tell Her Tonight,13,24
Franz Ferdinand,Take Me Out,13,24
Franz Ferdinand,Fade Together,13,24
Michael BublÃÂ©,Moondance (Album Version),13,24
Michael BublÃÂ©,Home (Album Version),13,24
Michael BublÃÂ©,Come Fly With Me (Album Version),13,24
Michael BublÃÂ©,All I Do Is Dream Of You (Album Version),13,24
Michael BublÃÂ©,Some Kind Of Wonderful (Non-Album Track),13,24
Michael BublÃÂ©,Can't Buy Me Love (Album Version),13,24
Michael BublÃÂ©,Smile (Live),13,24
Michael BublÃÂ©,Can't Help Falling In Love (Album Version) (Studio),13,24
Michael BublÃÂ©,A Foggy Day (In London Town) (Album Version),13,24
Michael BublÃÂ©,You'll Never Find Another Love Like Mine (Album Version),13,24
Pixies,Bone Machine,13,24
Pixies,Where Is My Mind?,13,24
Pixies,Break My Body,13,24
Pixies,Into The White,13,24
Pixies,Is She Weird,13,24
Pixies,In Heaven,13,24
Pixies,Build High,13,24
Pixies,Hey,13,24
Red Hot Chili Peppers,Easily (Album Version),13,24
Red Hot Chili Peppers,Snow [Hey Oh] (Album Version),13,24
Red Hot Chili Peppers,Under The Bridge (Album Version),13,24
Red Hot Chili Peppers,Tell Me Baby (Album Version),13,24
Red Hot Chili Peppers,Especially In Michigan (Album Version),13,24
Red Hot Chili Peppers,Parallel Universe (Album Version),13,24
Red Hot Chili Peppers,Californication (Album Version),13,24
Red Hot Chili Peppers,Turn It Again (Album Version),13,24
Red Hot Chili Peppers,Pea (Album Version),13,24
Shakira,TÃÂº,13,24
Shakira,Did it Again,13,24
Shakira,La Pared,13,24
Shakira,Vuelve,13,24
Shakira,Donde Estas Corazon,13,24
Shakira,Pienso En Ti,13,24
Shakira,Que Me Quedes Tu,13,24
Shakira,Inevitable,13,24
Shakira,Estoy AquÃÂ­,13,24
Shinedown,What A Shame (Album Version),13,24
Shinedown,Breaking Inside (Album Version),13,24
Shinedown,Cry For Help (Album Version),13,24
Shinedown,Devour (Album Version),13,24
Shinedown,Begin Again (Album Version),13,24
Shinedown,Cyanide Sweet Tooth Suicide (Album Version),13,24
Shinedown,Sound Of Madness (Album Version),13,24
Shinedown,Second Chance (Album Version),13,24
Shinedown,The Crow & The Butterfly (Album Version),13,24
Shinedown,Heroes (Album Version),13,24
The Strokes,Is This It,13,24
The Strokes,You Only Live Once,13,24
The Strokes,Killing Lies,13,24
The Strokes,Juicebox,13,24
The Strokes,Last Nite,13,24
The Strokes,The Modern Age,13,24
The Strokes,On The Other Side,13,24
The Strokes,Reptilia,13,24
The White Stripes,Bone Broke,13,24
The White Stripes,Seven Nation Army (Album Version),13,24
The White Stripes,Blue Orchid,13,24
The White Stripes,Seven Nation Army,13,24
The White Stripes,Fell In Love With A Girl,13,24
The White Stripes,My Doorbell (Album Version),13,24
Bon Iver,Flume,12,25
Bon Iver,Blindsided,12,25
Bon Iver,Skinny Love,12,25
Bon Iver,Team,12,25
Bon Iver,Creature Fear,12,25
Bon Iver,For Emma,12,25
Bon Iver,Brackett_ WI,12,25
Justice,Waters Of Nazareth (album version),12,25
Justice,Phantom Part 1.5 (Album Version),12,25
Justice,DVNO,12,25
Justice,Let There Be Light (album version),12,25
Justice,TTHHEE PPAARRTTYY,12,25
Justice,Let There Be Lite (Album Version),12,25
Justice,One Minute To Midnight,12,25
Justice,D.A.N.C.E. [Live Version],12,25
Nirvana,Breed,12,25
Nirvana,Lithium,12,25
Nirvana,Come As You Are,12,25
Nirvana,Serve The Servants,12,25
Nirvana,Love Buzz,12,25
Nirvana,You Know You're Right,12,25
Pavement,Heaven Is A Truck,12,25
Pavement,Mercy:The Laundromat,12,25
Pavement,Rooftop Gambler,12,25
Rammstein,Sehnsucht,12,25
Rammstein,Engel,12,25
Rammstein,TE QUIERO PUTA!,12,25
Rammstein,Du Riechst So Gut,12,25
Rammstein,MOSKAU,12,25
Rammstein,BÃÂ¼ck Dich,12,25
Rammstein,Sonne,12,25
Rammstein,Adios,12,25
Rammstein,FRÃÂ¼HLING IN PARIS,12,25
Rammstein,Feuer Frei,12,25
The Pussycat Dolls,Sway,12,25
The Pussycat Dolls,When I Grow Up,12,25
The Pussycat Dolls,Buttons,12,25
The Pussycat Dolls,I'm Done,12,25
The Pussycat Dolls,How Many Times_ How Many Lies,12,25
The Pussycat Dolls,Elevator,12,25
The Pussycat Dolls,Magic,12,25
The Pussycat Dolls,Love The Way You Love Me,12,25
The Pussycat Dolls,Stickwitu,12,25
Two Door Cinema Club,Undercover Martyn,12,25
Two Door Cinema Club,What You Know,12,25
Two Door Cinema Club,You Are Not Stubborn,12,25
Two Door Cinema Club,Costume Party,12,25
Two Door Cinema Club,This Is The Life,12,25
Two Door Cinema Club,I Can Talk,12,25
Vampire Weekend,A-Punk (Album),12,25
Vampire Weekend,I Stand Corrected (Album),12,25
Vampire Weekend,Giving Up The Gun,12,25
Vampire Weekend,The Kids Dont Stand A Chance (Album),12,25
Vampire Weekend,Oxford Comma (Album),12,25
Vampire Weekend,I Think Ur A Contra,12,25
Vampire Weekend,Cape Cod Kwassa Kwassa (Album),12,25
Vampire Weekend,Walcott (Album),12,25
Vampire Weekend,M79 (Album),12,25
Vampire Weekend,Bryn (Album),12,25
Angels and Airwaves,The Gift,11,26
Angels and Airwaves,Sirens,11,26
Band Of Horses,The Funeral (Album Version),11,26
Band Of Horses,Compliments,11,26
Band Of Horses,Cigarettes_ Wedding Bands (Album),11,26
Band Of Horses,The General Specific (Album),11,26
Band Of Horses,Ode to LRC (Album),11,26
Band Of Horses,Marry Song (Album),11,26
Band Of Horses,Lamb on the Lam (In the City) (Album),11,26
Edward Sharpe & The Magnetic Zeros,Home,11,26
Faith No More,Midlife Crisis,11,26
Faith No More,Last Cup Of Sorrow,11,26
Faith No More,What A Day,11,26
Faith No More,Helpless,11,26
Faith No More,Epic,11,26
Faith No More,Easy,11,26
Fall Out Boy,Dance_ Dance,11,26
Fall Out Boy,She's My Winona,11,26
Fall Out Boy,Sugar_ We're Goin Down,11,26
Fall Out Boy,Beat It,11,26
Fall Out Boy,Thnks fr th Mmrs,11,26
Fall Out Boy,Don't You Know Who I Think I Am?,11,26
Fall Out Boy,Nobody Puts Baby In The Corner,11,26
Fall Out Boy,I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),11,26
Hot Chip,Playboy,11,26
Hot Chip,Tchaparian,11,26
Hot Chip,Brothers,11,26
Hot Chip,Don't Dance,11,26
Hot Chip,Beach Party,11,26
Hot Chip,My Piano (DJ-Kicks),11,26
Hot Chip,We're Looking For A Lot Of Love,11,26
Hot Chip,No Fit State,11,26
Hot Chip,My Brother Is Watching Me,11,26
Juanes,A Dios Le Pido,11,26
Juanes,La Vida Es Un Ratico,11,26
Juanes,Para Tu Amor,11,26
Juanes,Bailala,11,26
Juanes,Tu Y Yo,11,26
Juanes,Rosario Tijeras,11,26
Juanes,No Siento Penas,11,26
Juanes,Un DÃÂ­a Normal,11,26
Juanes,Damelo,11,26
Juanes,Amame,11,26
Katy Perry,Thinking Of You,11,26
Katy Perry,I Kissed A Girl,11,26
Katy Perry,I'm Still Breathing,11,26
Katy Perry,Hot N Cold (Manhattan Clique Remix Radio Edit),11,26
Pearl Jam,Rearviewmirror,11,26
Pearl Jam,Better Man,11,26
Pearl Jam,Faithful,11,26
Pearl Jam,Can't Keep,11,26
Pearl Jam,Encore Break,11,26
Pearl Jam,Let Me Sleep (It's Christmas Time),11,26
Pearl Jam,Oceans,11,26
Pearl Jam,Not For You,11,26
Rihanna,Rehab,11,26
Rihanna,G4L,11,26
Rihanna,Te Amo,11,26
Rihanna,Don't Stop The Music,11,26
Rihanna,Take A Bow,11,26
Angus & Julia Stone,Soldier,10,27
